trials,mode,N,curvature,loss_mm,alpha,ell_um,det_x_um,det_y_um,det_z_um,node_radius_um,kappa_sigma,qe,eta_geom,dark_cps,deadtime_ns,win_ns,prc_eps,prc_threshold,emit_photons_total_mean,emit_photons_total_sem,det_photons_total_mean,det_photons_total_sem,gate_photons_mean,gate_photons_sem,coincidence_ratio_mean,coincidence_ratio_sem,peak_sharpness_mean,peak_sharpness_sem,p2rms_mean,p2rms_sem,snr_mean,snr_sem,R_before_mean,R_before_sem,R_after_mean,R_after_sem,sync_gain_mean,sync_gain_sem,mean_phase_reset_mean,mean_phase_reset_sem
24,antithesis,24,1.0,3,0.2,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.2,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.3,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.5,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,5,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,8,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,12,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
24,hypothesis,24,1.0,3,0.8,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
24,antithesis,24,1.0,3,0.8,20,0.0,0.0,0.0,6.0,0.05,0.8,0.3,20.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
